MatchID,Home,Away,Date,Season,Text
451,Stoke City,Crystal Palace,Fri 10 Feb 2017 16.45 GMT,2016-17,"A 4-1 defeat at Selhurst Park in September was the low point of Stoke’s season; Palace travel to the Potteries after their own, more embarrassing, nadir at home to Sunderland and Mark Hughes believes that was the “worst outcome” for his side given the reaction Sam Allardyce will be demanding. Hughes himself would not mind a step up in performance after seeing his team go three games without a win. Nick Ames"
452,Manchester United,Watford,Fri 10 Feb 2017 16.29 GMT,2016-17,"Manchester United are unbeaten in 15 Premier League games yet they remain in sixth position, the place they have been stuck in since early November. The good news is United can start next week in fourth if Liverpool and Arsenal lose their matches on Saturday and United win, the bad news is United went down 3-1 to Watford in the reverse fixture in what was arguably the seasons’s poorest display. Jamie Jackson"
453,Arsenal,Hull City,Fri 10 Feb 2017 15.44 GMT,2016-17,Here we go again. Arsène Wenger can hear the squeals of protest and the problem of whether he ought to stay on at Arsenal dominates the agenda. Wenger only ever seems to be one defeat from crisis. The team have now lost two on the spin and the consequences of another bad result against a Hull team revitalised under Marco Silva do not bear thinking about. David Hytner
454,Liverpool,Tottenham Hotspur,Fri 10 Feb 2017 13.13 GMT,2016-17,"Simon Mignolet is not the only Liverpool player uncertain to keep his place following the anaemic display at Hull City as Jürgen Klopp attempts to rectify an alarming run of results. His team have won once in 10, whereas Tottenham are unbeaten in 10 and will go seven points clear of Liverpool with a rare league win at Anfield. The hosts are, however, unbeaten in matches against their top six rivals this season and have not lost to Spurs since November 2012. Andy Hunter"
455,Middlesbrough,Everton,Fri 10 Feb 2017 12.56 GMT,2016-17,"Middlesbrough have just returned from warm-weather training in Benidorm with Aitor Karanka hoping that the break will prove a watershed moment in their relegation fight. Although difficult to beat, Boro have won fewer Premier League games – four – than anyone, with their last victory coming in December. Karanka could probably do without meeting a recently somewhat more direct, higher tempo, Everton, who are very much the division’s form team. Much may hinge on the mood of his recently unsettled playmaker Gaston Ramírez. Louise Taylor"
456,Leicester City,Manchester United,Sat 4 Feb 2017 09.00 GMT,2016-17,"The last time José Mourinho visited the King Power Stadium, in December 2015, he was sacked the following day. That was during his time in charge of Chelsea, when Leicester were on their way to winning the title. It seems like a distant memory now, and it is Ranieri, not Mourinho, who goes into this game under pressure. Depending on results elsewhere, Leicester could be in the bottom three by the time they kick off. United need a win to break a run of three draws. Stuart James"
457,Manchester City,Swansea City,Sat 4 Feb 2017 08.00 GMT,2016-17,Will Pep Guardiola drop Sergio Agüero and Claudio Bravo for a second match in a row? Can the Manchester City manager somehow plot his way to a third win over Swansea City this season? The first question comes after the striker and the No1 keeper were left out for the 4-0 win at West Ham United. The second because Guardiola talked up Paul Clement’s impact since taking over four games ago. Jamie Jackson
458,West Bromwich Albion,Stoke City,Fri 3 Feb 2017 18.38 GMT,2016-17,"“I’ve spent two and a half years at this club and he’s not my problem anymore. I wish him all the best.” These were the words spoken by Tony Pulis on Saido Berahino – the pantomime villain of The Hawthorns after his overdue departure. But, should Berahino enter from stage left for his full Stoke debut, it promises to be a better contest than many may think. Just four points split the sides, who are eighth and ninth respectively. Dan Brown"
459,Southampton,West Ham United,Fri 3 Feb 2017 18.27 GMT,2016-17,"Southampton can be satisfied to have received £8m for a 33-year-old centre-back who was minded to move on but when José Fonte returns to St Mary’s with West Ham, the home club may wish they had been able to hold on to him a little longer. Virgil van Dijk’s injury leaves Claude Puel with few central defensive options. But if Saints manage to plug the gap at the back and take their chances up front they could still have the last laugh. Paul Doyle"
460,Watford,Burnley,Fri 3 Feb 2017 18.10 GMT,2016-17,"Watford, who had looked like spiralling into chaos after a disastrous run of league form and an FA Cup exit to Millwall, now host Burnley on the back of the most unlikely away win of the season at Arsenal. Any away win for Burnley would be unlikely as they are still stuck on just the one point gained away from Turf Moor all season. They will be missing Steven Defour with a hamstring injury but have both their deadline-day signings in Robbie Brady and Ashley Westwood ready for action. Watford will assess Miguel Britos and will be tempted to give the forward M’Baye Niang his second start in five days. Paul MacInnes"
461,Tottenham Hotspur,Middlesbrough,Fri 3 Feb 2017 17.51 GMT,2016-17,"Tottenham have stumbled slightly, having previously flexed their muscles in the title race and they will consider this game as one in which to get back on track. Aitor Karanka’s Middlesbrough do not give much away – particularly on their Premier League travels, where only Chelsea and Tottenham have conceded fewer goals. But Mauricio Pochettino’s team have come to look imposing at home and they back themselves to cut loose against anyone. David Hytner"
462,Crystal Palace,Sunderland,Fri 3 Feb 2017 17.29 GMT,2016-17,"Having secured his first league win as the Crystal Palace manager at Bournemouth in midweek, Sam Allardyce will be desperate to repeat the trick against his former employers. Sunderland need the points even more, with four points between them and Premier League safety, despite the creditable home draw against Tottenham. Expect a nerve-shredding match at Selhurst Park for all. Ed Aarons"
463,Everton,Bournemouth,Fri 3 Feb 2017 17.22 GMT,2016-17,"Everton have crept up the table and are seventh, having last been defeated on 19 December. The same cannot be said about Bournemouth who looked poor against Crystal Palace in midweek and are drifting towards the relegation zone. To make matters worse they are without Callum Wilson, who ruptured his anterior cruciate ligament in training. Dan Brown"
464,Hull City,Liverpool,Fri 3 Feb 2017 17.11 GMT,2016-17,"There was no evidence of transfer upheaval or lack of confidence impacting on Hull when they climbed off the bottom of the Premier League with a draw at Manchester United in midweek. A repeat performance, particularly in defence, will be in order when Liverpool visit with the aim of putting their January slump behind them. Sadio Mané, Philippe Coutinho and Adam Lallana all scored in the 5-1 defeat of Hull at Anfield in September and Jürgen Klopp finally has a full range of attacking options at his disposal again. Andy Hunter"
465,Chelsea,Arsenal,Fri 3 Feb 2017 16.56 GMT,2016-17,"Antonio Conte was keen to preach caution, insisting “if someone thinks the league is finished, I’m not so sure”, but Arsenal surely know their title pursuit is dependent on winning at Stamford Bridge. That damaging defeat to Watford has left Arsène Wenger’s side forlorn. They are hampered too by Chelsea’s eagerness to avenge that humiliation endured at the Emirates in September. They have been virtually untouchable ever since. Dominic Fifield"
466,Manchester City,Tottenham Hotspur,Fri 20 Jan 2017 18.19 GMT,2016-17,"Pep Guardiola has already conceded the Premier League title race and what might he say if Manchester City go down to Tottenham Hotspur at their own ground about hopes of Champions League qualification? They would not be out of it, of course, but it would add to the questions hovering over Guardiola’s side. Only an impressive defeat of Spurs might answer them but given the visitors’ form this seems unlikely. Jamie Jackson"
467,Stoke City,Manchester United,Fri 20 Jan 2017 17.54 GMT,2016-17,"For a team that failed to win in their first nine league games of the campaign, Stoke have staged a great recovery to sit in ninth place after 21 matches. Manchester United will offer a stern test for Mark Hughes’s side and although the visitors’ run of nine straight wins in all competitions was ended by last week’s draw with Liverpool, they are still favourites to avenge the 2-0 defeat they suffered here in December 2015. Rich Flower"
468,Arsenal,Burnley,Fri 20 Jan 2017 17.16 GMT,2016-17,Arsenal welcome back Hector Bellerín for Burnley’s visit to the Emirates as Arsène Wenger’s number of injured players dwindles. The Frenchman will be delighted by the prospect of having many more options at his disposal. Sean Dyche’s side have taken one point away from home this season in nine matches and have conceded 20 goals. Alexis Sánchez has all the motivation he needs. Graham Searles
469,Liverpool,Swansea City,Fri 20 Jan 2017 16.42 GMT,2016-17,"Liverpool have not lost a league game at Anfield in over a year and maintaining their impressive home form will be key to fulfilling dreams of the title. Jürgen Klopp’s side have scored 26 goals in nine home league games and host a Swansea side that have kept only one clean sheet in 13 games. New recruits Martin Olsson and Tom Carroll could debut for Paul Clement’s visitors but a third, Dutch winger Luciano Narsingh, is doubtful with a calf injury. Andy Hunter"
470,West Bromwich Albion,Sunderland,Fri 20 Jan 2017 16.16 GMT,2016-17,"Sunderland, hit more than most by Africa Cup of Nations call-ups, hope to arrest a run of four winless matches against topsy-turvy West Bromwich Albion. Yet despite last Saturday’s dismantling by Spurs the hosts are worthy of a top eight place and buoyed by a versatile signing in Jake Livermore. Jermain Defoe will hope Gareth McAuley retains jitters from White Hart Lane. Stuart Goodwin"
471,Bournemouth,Watford,Fri 20 Jan 2017 16.02 GMT,2016-17,"Bournemouth’s preoccupation with the number three will concern Eddie Howe, having conceded that many in five of their last six games. Yet during that run they also scored three in routing Swansea and drawing at home to Arsenal. The visitors have injuries and absences and are skirting with trouble, winless in the league since 10 December and with only two goals in six games. Stuart Goodwin"
472,Crystal Palace,Everton,Fri 20 Jan 2017 15.47 GMT,2016-17,"Any optimistic Crystal Palace supporters buoyed by a rare midweek win in the FA Cup will be wary that a dreadlocked Andy Preece scored Crystal Palace’s last winner against Everton at Selhurst Park, and that was almost 23 years ago. The current side have not even managed a goal when welcoming these opponents in this latest four-year stint in the top flight, which makes this fixture a daunting prospect. Sam Allardyce would have liked more additions than just Jeffrey Schlupp to throw in for a home debut. These are troubling times. Dominic Fifield"
473,Chelsea,Hull City,Fri 20 Jan 2017 15.33 GMT,2016-17,"Antonio Conte has time yet to determine whether Diego Costa has proved himself enough in training this week to start against Hull City, but he will resist the striker’s availability becoming a distraction. Chelsea play last of the title contenders and will be hoping to extend their lead at the top this weekend. “But our challenge is to keep the right concentration,” said the Italian. “If you think this game is easy, you make a great mistake and you can pay for this mistake at the end of the season.” He will be wary of ‘new coach bounce’. Dominic Fifield"
474,Southampton,Leicester City,Fri 20 Jan 2017 14.56 GMT,2016-17,"Southampton dominated proceedings against Leicester when these sides met in October but had to settle for a 0-0 draw because of poor finishing, a recurring problem this season. Claudio Ranieri’s side need to do better this time in order to hoist themselves further clear of the relegation zone and they may be helped by Southampton preparing for their EFL Cup semi-final second leg against Liverpool on Wednesday. Paul Doyle"
475,Middlesbrough,West Ham United,Fri 20 Jan 2017 14.08 GMT,2016-17,"Aitor Karanka has warned his defence about the threat posed by Andy Carroll. “He’s an amazing player,” said Middlesbrough’s manager. “He’s a player we have to be careful of. We need to try to stop him, to stop the balls to him.” Expert at securing goalless draws, Boro are only four points above the relegation zone and have scored just 17 times in 21 league games. Patrick Bamford, newly signed from Chelsea for £6m, hopes to improve such statistics but will begin on the bench. Louise Taylor"
476,Burnley,Southampton,Fri 13 Jan 2017 18.17 GMT,2016-17,"Only Chelsea and Tottenham have won more league games at home this season than Burnley so Southampton face a tall order at Turf Moor, especially as Claude Puel’s side are still struggling in front of goal. Former Burnley player Jay Rodriguez will be hoping to put that right to end a miserable run of three consecutive league defeats. Graham Searles"
477,Manchester United,Liverpool,Fri 13 Jan 2017 17.43 GMT,2016-17,"Manchester United’s morale is high but they started the weekend 10 points behind Chelsea, so José Mourinho’s men need to win to have a chance of taking the title. Jürgen Klopp’s second-placed Liverpool can lose and still be in the race but a resounding defeat would be damaging for their confidence. Jamie Jackson"
478,Everton,Manchester City,Fri 13 Jan 2017 17.22 GMT,2016-17,"Pep Guardiola’s last visit to Merseyside ended in defeat and recrimination at Anfield on New Year’s Eve, although that was the only game in the last six that Manchester City have failed to win. Guardiola’s side were on top form at West Ham United and Ronald Koeman said City could repeat that 5-0 FA Cup win should Everton reproduce the feeble defensive display that led to them being knocked out of the competition by Leicester City last weekend. New signings Morgan Schneiderlin and Ademola Lookman could feature for the hosts. Andy Hunter"
479,Sunderland,Stoke City,Fri 13 Jan 2017 17.10 GMT,2016-17,"Stoke have a poor record on Wearside but Mark Hughes will be hoping to return to winning ways after last week’s disappointing 2-0 home FA Cup defeat to Wolves. Already underwhelmed by what is turning into a slog of a league campaign, Stoke fans were seriously unhappy about that reverse and Hughes knows a correction is needed. Sunderland remain desperate to secure a win that seems near essential to sustaining David Moyes’s hopes of escaping relegation. Louise Taylor"
480,Swansea City,Arsenal,Fri 13 Jan 2017 16.51 GMT,2016-17,"If Arsenal are serious about hunting down Chelsea, then nothing less than victory will do at Swansea. While the good news for Arsenal is that Mesut Özil is back after illness, Hector Bellerín and Francis Coquelin are among a long list of absentees. Swansea have their own problems, with Neil Taylor and new signing Luciano Narsingh ruled out. Arsenal’s Olivier Giroud, who has scored in his past four matches, could be the man to watch. Stuart James"
481,Tottenham Hotspur,West Bromwich Albion,Fri 13 Jan 2017 16.32 GMT,2016-17,Mauricio Pochettino has Tottenham flying. They have six straight wins in all competitions and are playing the sort of football that took them close to the title last season. But West Brom are something of a bogey team and it was Tottenham’s failure to beat them at the end of last season that effectively derailed their title challenge. Pochettino knows that Albion will make life extremely difficult. David Hytner
482,Leicester City,Chelsea,Fri 13 Jan 2017 16.16 GMT,2016-17,"It was this fixture last season that spelt the end for José Mourinho at Chelsea as Leicester returned to top spot in a sign of things to come. Thirteen months on and the normal order has been restored as Leicester languish in the bottom half and Chelsea lead the way, yet Claudio Ranieri’s side have a chance to upset the apple cart. Jamie Vardy returns for Leicester after recovering from illness, with Nathan Aké set to replace the suspended John Terry in Chelsea’s squad. Stuart James"
483,Hull City,Bournemouth,Fri 13 Jan 2017 15.51 GMT,2016-17,"Marco Silva takes charge of his first Premier League match hoping for a miracle with his team bottom. Abel Hernández, last season’s top scorer, who has missed half of Hull’s league matches, is fit and the new arrival Oumar Niasse could also feature. Bournemouth will also have fresh legs, having rested their entire team for the embarrassing FA Cup defeat against Millwall. Simon Francis is suspended but Ryan Fraser has recovered from a calf injury. Paul MacInnes"
484,Watford,Middlesbrough,Fri 13 Jan 2017 15.35 GMT,2016-17,"The result will be of secondary importance to Watford after the death of Graham Taylor. They will, however, hope to arrest a slide that has secured only one point from five matches. The loan signing Tom Cleverley could start, while Heurelho Gomes and José Holebas return from illness. Middlesbrough will miss Gaston Ramírez but the £6m striker Rudy Gestede could make his debut. Paul MacInnes"
485,West Ham United,Crystal Palace,Fri 13 Jan 2017 14.37 GMT,2016-17,Sam Allardyce may fancy his chances of securing his first win as the Crystal Palace manager when he faces his old side. West Ham United have been rocked by Dimitri Payet’s request to leave and the France midfielder will be a notable absentee at the London Stadium. Palace are a point above the bottom three but they could drag Slaven Bilic’s inconsistent side back into the mire. Jacob Steinberg
486,Crystal Palace,Swansea City,Sun 1 Jan 2017 19.44 GMT,2016-17,"Guiding Swansea to a 5-4 win in November’s madcap reverse fixture did not make much of a difference for the then manager, Bob Bradley – he was sacked only five days after the losing side dispensed with the services of Alan Pardew. Defeat at Selhurst Park on Monday will not cost Sam Allardyce his job but it would put Palace in danger of slipping into the mire. Rich Flower"
487,Tottenham Hotspur,Chelsea,Sun 1 Jan 2017 19.35 GMT,2016-17,"Mauricio Pochettino has referenced his Tottenham side’s performance at Stamford Bridge on 26 November as a turning point of sorts in the season. They had been positive for the first 45 minutes and the manager felt that it showed they were over their Champions League exit. But they still lost, as everybody has done to Chelsea in the league over the past three months. Tottenham are in form and this could be wild. Can they stop the Chelsea juggernaut? David Hytner"
488,Bournemouth,Arsenal,Sun 1 Jan 2017 19.01 GMT,2016-17,"Bournemouth brushed aside Swansea City on New Year’s Eve and return to home soil hoping to close out a team at the opposite end of the table, Arsenal. Benik Afobe, in particular, will have been lifted by getting on the scoresheet at the Liberty Stadium before facing his former club. The on-loan Arsenal midfielder Jack Wilshere, though, is ineligible to play against his parent club, with Arsène Wenger hopeful of a second win in three days. Ben Fisher"
489,Stoke City,Watford,Sun 1 Jan 2017 18.34 GMT,2016-17,"There has been little festive cheer for Stoke after the fixture computer handed them trips to Anfield and Stamford Bridge in between Christmas and new year and despite flattering to deceive before losing both games, the visit of Watford gives them a chance to end on a high. Sunday’s home humbling by Spurs was a fifth defeat in seven for Walter Mazzarri’s inconsistent side. Paul Chronnell"
490,West Bromwich Albion,Hull City,Sun 1 Jan 2017 17.55 GMT,2016-17,"Both these sides ended 2016 with encouraging results, although the fact West Bromwich managed to win 2-1 at Southampton but Hull were pegged back by Everton to draw 2-2 tells the story of their respective seasons. Tony Pulis’s side are riding high in eighth place and will look to consolidate that today, whereas Hull, in 19th, know they need to start winning soon if an instant return to the Championship is to be avoided. Paul Chronnell"
491,Middlesbrough,Leicester City,Sun 1 Jan 2017 17.41 GMT,2016-17,"Claudio Ranieri will want to see Leicester City capitalise on their solid win over West Ham. The Italian should be especially keen because this is the last game for which Islam Slimani and Riyad Mahrez will be available before leaving for the Africa Cup of Nations. Middlesbrough’s scoring average of fewer than one goal a game will not worry their opponents, who need to improve in 2017. Graham Searles"
492,Everton,Southampton,Sun 1 Jan 2017 16.48 GMT,2016-17,"Ronald Koeman endured a miserable return to St Mary’s Stadium in November when his current side were outmanoeuvred and beaten by his old one but fatigue may work in Everton’s favour this time around. Ludicrously, Southampton are playing for the third time in six days and Claude Puel has admitted it will be a struggle to juggle his resources at Goodison Park. Tom Davies, sharp as a substitute at Hull City on Friday, may get a chance to start in Everton’s midfield, with Koeman keen to protect Gareth Barry from two games in quick succession. Andy Hunter"
493,West Ham United,Manchester United,Sun 1 Jan 2017 15.50 GMT,2016-17,"Manchester United head to the London Stadium after five straight victories and unbeaten in their last 12 matches. How José Mourinho would love to continue 2017 in a similar vein with a sixth. However, he will be without Eric Bailly, who has joined up with his Ivory Coast team-mates before the Africa Cup of Nations while Michael Carrick and Wayne Rooney are both doubts. West Ham, who lost at Leicester City on Saturday, may be without the captain Mark Noble. Ben Fisher"
494,Manchester City,Burnley,Sun 1 Jan 2017 15.37 GMT,2016-17,"The pass-and-move masters that were Manchester City in their 10 consecutive wins at the start of the season now seem a mirage. The most troubling element of Saturday’s 1-0 defeat at Liverpool was that it was no surprise. Pep Guardiola’s side have been misfiring for a while despite the three wins on the bounce beforehand. Can Burnley turn them over at the Etihad? Sean Dyche’s side are 11th and have won their past two games, so this is another test for City. Jamie Jackson"
495,Sunderland,Liverpool,Sun 1 Jan 2017 15.23 GMT,2016-17,"Liverpool have won their past four matches, the most recent of which was against Manchester City. Sunderland are in poor form and lost 4-1 at Burnley last time out. There should, then, be only one winner. But with the visitors having less than 44 hours to prepare for this game and possibly lacking Jordan Henderson through injury, the hosts may sense they can cause an upset. Sachin Nakrani"
496,Watford,Tottenham Hotspur,Fri 30 Dec 2016 18.34 GMT,2016-17,Watford have chanced upon an ideal time to play Tottenham. Jan Vertonghen and Kyle Walker are suspended and Toby Alderweireld may still be feeling the after-effects of a virus. However in Watford’s past six matches they have failed to score three times and scored more than one goal just once in the other three. Tottenham’s replacements will not be quaking in their boots. Graham Searles
497,Arsenal,Crystal Palace,Fri 30 Dec 2016 18.08 GMT,2016-17,"There has never been any love lost between Arsène Wenger and Sam Allardyce, despite the passing of the years bringing an entente of sorts, and both will be desperate for a positive result. For Wenger and Arsenal victory is essential, given Chelsea’s cushion at the top. Wenger describes them as “super-favourites” for the title. But what a tonic one point or more would be for Allardyce, as he gets his feet under the table at Palace. David Hytner"
498,Manchester United,Middlesbrough,Fri 30 Dec 2016 17.17 GMT,2016-17,"If Manchester United beat Middlesbrough this will be a fifth successive Premier League win for José Mourinho’s in-form side. Two seasons have passed since United last did the same number. In the sole golden run under Louis van Gaal, the February-April period of the 2014-15 season, United won six consecutive league games and offered an outside chance of the title before defeat at Chelsea, the eventual champions. The manager of the west Londoners then? Mourinho. Jamie Jackson"
499,Liverpool,Manchester City,Fri 30 Dec 2016 16.57 GMT,2016-17,"Undoubtedly the Christmas cracker of a festive program lacking in high-profile encounters. Liverpool and Manchester City do battle for second place. Both sides are so evenly matched, explosive in attack and liable to blunders at the back, that a coin toss might be the most effective way of choosing the victor. Sergio Agüero may disagree, the Argentinian will be eager to test the frequently error-prone Simon Mignolet with a thunderbolt or two. Graham Searles"
500,Burnley,Sunderland,Fri 30 Dec 2016 16.18 GMT,2016-17,"Burnley have won four of their past five home games and, if victorious against Sunderland, could end the year in the top half of the table. The absence of Jordan Pickford, Sunderland’s breakout star of 2016, may help them as Vito Mannone could be rusty after not featuring since 21 August. David Moyes and Sunderland, however, are no strangers to adversity and will be fired up by the possibility of climbing out of the relegation zone. Graham Searles"
501,Swansea City,Bournemouth,Fri 30 Dec 2016 15.42 GMT,2016-17,"There was only one good thing to say about the Bob Bradley experiment: when the end came, it was swift. However, the hope that things on the pitch will change for Swansea is hampered by the fact Alan Curtis, the caretaker manager, does not have much to choose from beyond the players who lost so pitifully against West Ham on Boxing Day. Bournemouth will hope to profit. Conrad Leach"
502,Southampton,West Bromwich Albion,Fri 30 Dec 2016 15.36 GMT,2016-17,This match – along with Southampton’s duel with Everton on 2 January – will have a bearing on which side collects the notional ‘best of the rest’ award at the end of the season for finishing just below the Premier League title-chasers. Southampton are likely to have most of the ball against West Brom but Claude Puel’s side are still struggling to find sharpness so the well organised visitors will fancy their chances of pinching a win. Paul Doyle
503,Leicester City,West Ham United,Fri 30 Dec 2016 15.26 GMT,2016-17,"West Ham arrive with nine points from nine while Leicester are looking to finish off the year in which they won the title with a win to stay out of the bottom three. “Considering where they were four seasons ago, it’s quite a normal situation for them,” said Slaven Bilic. To that end, City are helped by the returns from suspension of Robert Huth and Christian Fuchs. Mark Tallentire"
504,Chelsea,Stoke City,Fri 30 Dec 2016 15.10 GMT,2016-17,"Antonio Conte was dismissive of Arsène Wenger’s suggestion that the title is already Chelsea’s to lose, but will face Stoke seeking a 13th successive league win and conscious that his team are favourites. “I’m pleased if people are changing their opinions (of us),” he said. “But that means you must pay even more attention.” Standards must not slip here. Stoke drew at Stamford Bridge and twice triumphed at home against the Londoners last term. They represent distinctly awkward opposition. Dominic Fifield"
505,Chelsea,Bournemouth,Sat 24 Dec 2016 15.00 GMT,2016-17,"Antonio Conte must decide whether Michy Batshuayi is ready to start his first Premier League game in place of the suspended Diego Costa, with Cesc Fàbregas drafted into midfield, or if he must juggle his attacking resources to secure a club record 12th successive victory. The Italian will be aware that Eddie Howe’s Bournemouth won in south-west London last season, albeit while José Mourinho’s tenure was unravelling, and they will be awkward opponents. This will provide a test of sorts of the depth of Chelsea’s squad ahead of the transfer window. Dominic Fifield"
506,Liverpool,Stoke City,Sat 24 Dec 2016 15.00 GMT,2016-17,The stoppage time win at Everton felt like a defining three points for Jürgen Klopp’s team but they need to maintain pressure on Chelsea over the festive period to confirm as much. Liverpool have never lost a top-flight league game at home to Stoke – a sequence stretching back 53 games – although Mark Hughes’s team were the last to win at Anfield in the League Cup back in January. Joe Allen leads a strong ex-Liverpool contingent back at their old club. Andy Hunter
507,Leicester City,Everton,Sat 24 Dec 2016 15.00 GMT,2016-17,"Leicester City will have resented the nine-day wait to face Everton after their superb 10-man comeback against Stoke. Claudio Ranieri needs his side to pick up from where they left off to earn three points that would ensure not falling into the relegation zone before the new year. However the ill discipline of Jamie Vardy, Robert Huth and Christian Fuchs could cost them against an Everton side in the mood to avenge their excruciating derby defeat. Graham Searles"
508,Burnley,Middlesbrough,Sat 24 Dec 2016 15.00 GMT,2016-17,"This may be a defining period for Burnley, who have lost five in six but tend to let opponents know they have been in a game. Back-to-back wins over Middlesbrough and Sunderland cannot be discounted given their impressive home form, and might also help Sean Dyche attract the right January reinforcements. Their first festive test sees a rematch with last season’s Championship rivals Boro, with whom they shared a draw at Turf Moor in April. Aitor Karanka’s side, who cut loose all of a sudden in overwhelming Swansea, would consider a repeat of that a reasonable enough return this time too. Nick Ames"
509,Arsenal,West Bromwich Albion,Sat 24 Dec 2016 15.00 GMT,2016-17,"Arsenal’s slide from top to fourth in the space of eight days has led to familiar questions and, with them nine points off the pace, the prediction their title hopes are over. The Law of Wenger dictates they will bounce back against a West Bromwich Albion team who, apart from their tired showing against Manchester United last Saturday, have been in resurgent form. The alternative is a whole lot of wailing. David Hytner"
510,Swansea City,West Ham United,Sat 24 Dec 2016 15.00 GMT,2016-17,"West Ham can record a third successive victory for the first time this season against Swansea and Slaven Bilic will be confident his side can prevail. If other results go their way Bilic’s side could climb into the top half of the Premier League table. However, Bob Bradley will have watched the footage from West Ham’s past two wins and will see a side that is beatable, despite Swansea’s lowly standing – fans voted for the post to be man of the match at the London Stadium against Hull after it saved the home side three times. Graham Searles"
511,Southampton,Tottenham Hotspur,Sat 24 Dec 2016 15.00 GMT,2016-17,A punishing schedule of three matches in six days would suggest Southampton have somehow got themselves on the Premier League fixture computer’s naughty list this year. Claude Puel’s side will benefit from the 10-day break since their 3-1 win at Bournemouth but they risk losing the momentum generated by that impressive performance just as they head into a crucial run of fixtures. Rich Flower
512,Manchester United,Sunderland,Sat 24 Dec 2016 15.00 GMT,2016-17,Given the season it would be heartening to witness David Moyes receive a warm reception from Manchester United fans on his first return to Old Trafford since his sacking two years ago. This is as far as goodwill can extend of course as on the field the supporters only wish to see Sunderland beaten to make it four consecutive Premier League victories for José Mourinho’s side. Jamie Jackson
513,Hull City,Manchester City,Sat 24 Dec 2016 15.00 GMT,2016-17,"Manchester City may have one eye on their New Year’s Eve fixture against Liverpool when they arrive in Hull. And who can blame them? Without being disrespectful, Mike Phelan’s side should offer the chance for Pep Guardiola to test tactics and prepare for Sergio Agüero’s return at Anfield. Bottom-club Hull will be hoping for a Christmas miracle in order to salvage a result. Graham Searles"
514,Watford,Crystal Palace,Sat 24 Dec 2016 15.00 GMT,2016-17,There could be worse places for Sam Allardyce to take charge of his first game as Crystal Palace manager – his new club have a remarkable record at Vicarage Road having won six times and lost only once in their past 10 league visits. Walter Mazzarri’s Christmas wish must surely be for Troy Deeney and Odion Ighalo to find form – the pair have four league goals between them so far compared to 16 at this point last season. Rich Flower
515,West Bromwich Albion,Manchester United,Fri 16 Dec 2016 18.33 GMT,2016-17,"West Bromwich Albion are the surprise package of the Premier League this season. It may sound unbelievable but Tony Pulis, frequently maligned for negative tactics, has his side playing with attacking verve and as a result they have scored one more goal than Manchester United in the league leaving them one place behind the visitors in seventh. However José Mourinho is unlikely to be fearful and will have the utmost faith that his improving side can take the spoils. Graham Searles"
516,Tottenham Hotspur,Burnley,Fri 16 Dec 2016 18.13 GMT,2016-17,"Burnley arrive at White Hart Lane with one goal and one point from seven away matches and few people expecting them to improve their record against a Tottenham side that have recovered a little rhythm after the disappointment of their Champions League exit. But Burnley had their moments in defeat at West Ham United on Wednesday and they revel in confounding the doubters. As Sean Dyche almost said on Friday, aren’t they supposed to be down already? David Hytner"
517,Manchester City,Arsenal,Fri 16 Dec 2016 18.04 GMT,2016-17,"Pep Guardiola and Arsène Wenger: two managers whose pass-pass-attack ethos is about as identical as can be expected so this match should fascinate. A point and a position separates Manchester City from Arsenal, in fourth and third respectively. And as City have not beaten the visitors since a 6-3 walloping three years ago, a victory for them would be particularly satisfying. One outcome seems certain – this will not be a goalless draw. Jamie Jackson"
518,Bournemouth,Southampton,Fri 16 Dec 2016 17.57 GMT,2016-17,"This could not be better for Bournemouth, with local rivals Southampton in town, as Eddie Howe’s side go in search of consecutive wins for the first time this season. They are level on points but Claude Puel’s side sit narrowly ahead of Bournemouth on goal difference. This is only their 24th meeting and for now it remains low-key. “The more games we play against Southampton the more the rivalry will grow,” Howe said on Friday. “It’s something we’re looking forward to.” Ben Fisher"
519,Crystal Palace,Chelsea,Fri 16 Dec 2016 16.35 GMT,2016-17,"Chelsea, resplendent at the top, will fancy their chances of equalling their club record of 11 league wins in succession given Crystal Palace’s fraught campaign. The hosts have the joint worst home record in the division and are undermined by injuries, with Alan Pardew still a manager very much under pressure. It is doubtful a mooted fan protest will amount to much but there is local disquiet after a wretched league year, and a squad reduced to 13 fit senior outfield players will do well to contain the visitors. Dominic Fifield"
520,Middlesbrough,Swansea City,Fri 16 Dec 2016 16.22 GMT,2016-17,"With a tally of just 13 goals in 16 games, Middlesbrough are the Premier League’s lowest scorers and there will be reason for anxiety on Teesside should Aitor Karanka’s shot shy side struggle to break down Swansea’s generous defence. This latest relegation six pointer represents the start of a potentially season-defining run of, on paper at least, winnable games for Swansea whose next four fixtures pit Bob Bradley’s side against West Ham, Bournemouth, Crystal Palace and Hull. Louise Taylor"
521,Sunderland,Watford,Fri 16 Dec 2016 16.11 GMT,2016-17,"David Moyes could have done without Younes Kaboul’s summer-time switch to Watford and a defender who was integral in last season’s survival should probably brace himself for a somewhat frosty Wearside reception if he features. With Sunderland’s January transfer coffers bare, this season’s relegation fight will be all about making do and mending for Moyes whose attempt to lift his team out of the mire would be enhanced if they could start scoring from set pieces. The big problem is that Wahbi Khazri and Sebastian Larsson, his two dead-ball specialists, are merely substitutes these days. Louise Taylor"
